Timestamp,Host__Network__In__Bytes
2021-04-14T12:14:24.859Z,141841
2021-04-14T12:14:14.859Z,92749
2021-04-14T12:14:04.859Z,192298
2021-04-14T12:13:54.862Z,3022680
2021-04-14T12:13:44.859Z,11158599
2021-04-14T12:13:34.859Z,126080
2021-04-14T12:13:24.859Z,152379
2021-04-14T12:13:14.860Z,86101
2021-04-14T12:13:04.859Z,2394380
2021-04-14T12:12:54.859Z,150995
2021-04-14T12:12:44.860Z,5401558
2021-04-14T12:12:34.859Z,3019547
2021-04-14T12:12:24.859Z,290132
2021-04-14T12:12:14.859Z,91592
2021-04-14T12:12:04.860Z,7413757
2021-04-14T12:11:54.859Z,829534
2021-04-14T12:11:44.859Z,104276
2021-04-14T12:11:34.859Z,80438
2021-04-14T12:11:24.859Z,181881
2021-04-14T12:11:14.859Z,1900832
2021-04-14T12:11:04.859Z,148165
2021-04-14T12:10:54.860Z,196338
2021-04-14T12:10:44.859Z,83007
2021-04-14T12:10:34.859Z,124817
2021-04-14T12:10:24.859Z,226436
2021-04-14T12:10:14.859Z,171637
2021-04-14T12:10:04.860Z,2087851
2021-04-14T12:09:54.859Z,2634367
2021-04-14T12:09:44.859Z,201715
2021-04-14T12:09:34.859Z,284311
2021-04-14T12:09:24.859Z,1912040
2021-04-14T12:09:14.859Z,6023306
2021-04-14T12:09:04.859Z,1073017
2021-04-14T12:08:54.859Z,1595637
2021-04-14T12:08:44.859Z,248850
2021-04-14T12:08:34.860Z,112169
2021-04-14T12:08:24.859Z,3964841
2021-04-14T12:08:14.859Z,731056
2021-04-14T12:08:04.865Z,245098
2021-04-14T12:07:54.860Z,163073
2021-04-14T12:07:44.859Z,1578464
2021-04-14T12:07:34.859Z,4430255
2021-04-14T12:07:24.859Z,4477181
2021-04-14T12:07:14.859Z,4479233
2021-04-14T12:07:04.859Z,3849646
2021-04-14T12:06:54.859Z,5269412
2021-04-14T12:06:44.859Z,5258290
2021-04-14T12:06:34.859Z,3400275
2021-04-14T12:06:24.859Z,5145436
2021-04-14T12:06:14.859Z,20997864
2021-04-14T12:06:04.859Z,2130801
2021-04-14T12:05:54.859Z,3199406
2021-04-14T12:05:44.860Z,441826
2021-04-14T12:05:34.859Z,3702828
2021-04-14T12:05:24.862Z,183193
2021-04-14T12:05:14.859Z,15868361
2021-04-14T12:05:04.860Z,13529632
2021-04-14T12:04:54.859Z,3856152
2021-04-14T12:04:44.859Z,1161059
2021-04-14T12:04:34.859Z,1925831
2021-04-14T12:04:24.861Z,1806449
2021-04-14T12:04:14.859Z,1447178
2021-04-14T12:04:04.860Z,1051959
2021-04-14T12:03:54.861Z,1130774
2021-04-14T12:03:44.859Z,1483032
2021-04-14T12:03:34.859Z,985655
2021-04-14T12:03:24.862Z,3546777
2021-04-14T12:03:14.859Z,3679351
2021-04-14T12:03:04.860Z,794039
2021-04-14T12:02:54.859Z,913648
2021-04-14T12:02:44.859Z,3446842
2021-04-14T12:02:34.859Z,773151
2021-04-14T12:02:24.859Z,242240
2021-04-14T12:02:14.860Z,95892
2021-04-14T12:02:04.859Z,1724762
2021-04-14T12:01:54.860Z,341771
2021-04-14T12:01:44.859Z,2292682
2021-04-14T12:01:34.859Z,5830196
2021-04-14T12:01:24.859Z,440555
2021-04-14T12:01:14.860Z,2184895
2021-04-14T12:01:04.859Z,456892
2021-04-14T12:00:54.859Z,249177
2021-04-14T12:00:44.859Z,6806203
2021-04-14T12:00:34.859Z,6397807
2021-04-14T12:00:24.865Z,162128
2021-04-14T12:00:14.859Z,1608616
2021-04-14T12:00:04.862Z,18226185
2021-04-14T11:59:54.859Z,19929958
2021-04-14T11:59:44.860Z,152959
2021-04-14T11:59:34.860Z,80594
2021-04-14T11:59:24.859Z,381355
2021-04-14T11:59:14.859Z,20715753
2021-04-14T11:59:04.859Z,13341698
2021-04-14T11:58:54.859Z,151450
2021-04-14T11:58:44.859Z,6579342
