Timestamp,Host__Network__In__Bytes
"2021-04-12T20:54:04.861Z",8040347
"2021-04-12T20:53:54.859Z",2317942
"2021-04-12T20:53:44.859Z",141698
"2021-04-12T20:53:34.859Z",58583
"2021-04-12T20:53:24.859Z",1136714
"2021-04-12T20:53:14.859Z",77240
"2021-04-12T20:53:04.859Z",12468080
"2021-04-12T20:52:54.859Z",693701
"2021-04-12T20:52:44.859Z",780431
"2021-04-12T20:52:34.859Z",62721
"2021-04-12T20:52:24.859Z",1462067
"2021-04-12T20:52:14.859Z",783951
"2021-04-12T20:52:04.859Z",2012068
"2021-04-12T20:51:54.859Z",2077056
"2021-04-12T20:51:44.859Z",4464029
"2021-04-12T20:51:34.859Z",4763771
"2021-04-12T20:51:24.859Z",8109456
"2021-04-12T20:51:14.859Z",1020077
"2021-04-12T20:51:04.859Z",6505381
"2021-04-12T20:50:54.860Z",1656383
"2021-04-12T20:50:44.859Z",74074
"2021-04-12T20:50:34.859Z",79302
"2021-04-12T20:50:24.860Z",71119
"2021-04-12T20:50:14.860Z",92130
"2021-04-12T20:50:04.867Z",250805
"2021-04-12T20:49:54.859Z",119269
"2021-04-12T20:49:44.863Z",76610
"2021-04-12T20:49:34.859Z",170294
"2021-04-12T20:49:24.859Z",1444435
"2021-04-12T20:49:14.860Z",2220773
"2021-04-12T20:49:04.860Z",65583
"2021-04-12T20:48:54.859Z",1340542
"2021-04-12T20:48:44.859Z",1438078
"2021-04-12T20:48:34.859Z",160668
"2021-04-12T20:48:24.859Z",5442962
"2021-04-12T20:48:14.859Z",66454
"2021-04-12T20:48:04.859Z",70030
"2021-04-12T20:47:54.859Z",1995143
"2021-04-12T20:47:44.859Z",160272
"2021-04-12T20:47:34.859Z",55906
"2021-04-12T20:47:24.860Z",111758
"2021-04-12T20:47:14.859Z",78879
"2021-04-12T20:47:04.859Z",3544180
"2021-04-12T20:46:54.859Z",2634309
"2021-04-12T20:46:44.860Z",61668
"2021-04-12T20:46:34.859Z",55978
"2021-04-12T20:46:24.859Z",62682
"2021-04-12T20:46:14.859Z",2109462
"2021-04-12T20:46:04.859Z",2062118
"2021-04-12T20:45:54.859Z",5667709
"2021-04-12T20:45:44.859Z",64014
"2021-04-12T20:45:34.859Z",80028
"2021-04-12T20:45:24.859Z",60661
"2021-04-12T20:45:14.862Z",430337
"2021-04-12T20:45:04.860Z",2588026
"2021-04-12T20:44:54.859Z",1187129
"2021-04-12T20:44:44.859Z",78037
"2021-04-12T20:44:34.859Z",1127416
"2021-04-12T20:44:24.859Z",1130499
"2021-04-12T20:44:14.859Z",4151150
"2021-04-12T20:44:04.859Z",146914
"2021-04-12T20:43:54.859Z",88084
"2021-04-12T20:43:44.859Z",3918740
"2021-04-12T20:43:34.859Z",4054925
"2021-04-12T20:43:24.860Z",169641
"2021-04-12T20:43:14.859Z",67914
"2021-04-12T20:43:04.859Z",168926
"2021-04-12T20:42:54.859Z",2021956
"2021-04-12T20:42:44.860Z",60440
"2021-04-12T20:42:34.859Z",175747
"2021-04-12T20:42:24.859Z",105299
"2021-04-12T20:42:14.859Z",4058245
"2021-04-12T20:42:04.859Z",231175
"2021-04-12T20:41:54.859Z",4001660
"2021-04-12T20:41:44.859Z",1225117
"2021-04-12T20:41:34.859Z",9663355
"2021-04-12T20:41:24.859Z",9134994
"2021-04-12T20:41:14.861Z",196427
"2021-04-12T20:41:04.863Z",6451099
"2021-04-12T20:40:54.859Z",2856583
"2021-04-12T20:40:44.859Z",50177968
"2021-04-12T20:40:34.859Z",77751
"2021-04-12T20:40:24.859Z",63818
"2021-04-12T20:40:14.859Z",85827
"2021-04-12T20:40:04.859Z",3785447
"2021-04-12T20:39:54.859Z",1422978
"2021-04-12T20:39:44.859Z",2304891
"2021-04-12T20:39:34.859Z",3557713
"2021-04-12T20:39:24.859Z",86398
"2021-04-12T20:39:14.860Z",6043573
"2021-04-12T20:39:04.859Z",1480089
"2021-04-12T20:38:54.860Z",65127
"2021-04-12T20:38:44.859Z",224140
"2021-04-12T20:38:34.859Z",1948660
"2021-04-12T20:38:24.860Z",184473
"2021-04-12T20:38:14.859Z",154380
"2021-04-12T20:38:04.860Z",672725
"2021-04-12T20:37:54.859Z",1690903
"2021-04-12T20:37:44.864Z",1510367
"2021-04-12T20:37:34.860Z",64775
"2021-04-12T20:37:24.859Z",2264738
"2021-04-12T20:37:14.859Z",72551
"2021-04-12T20:37:04.859Z",8934690
"2021-04-12T20:36:54.859Z",69681
"2021-04-12T20:36:44.859Z",62285
"2021-04-12T20:36:34.859Z",728285
"2021-04-12T20:36:24.859Z",81200
"2021-04-12T20:36:14.859Z",2284280
"2021-04-12T20:36:04.860Z",62902
"2021-04-12T20:35:54.860Z",8258293
"2021-04-12T20:35:44.859Z",2670196
"2021-04-12T20:35:34.860Z",2224637
"2021-04-12T20:35:24.859Z",35078815
"2021-04-12T20:35:14.859Z",2301282
"2021-04-12T20:35:04.862Z",280608
"2021-04-12T20:34:54.859Z",1917811
"2021-04-12T20:34:44.859Z",1800115
"2021-04-12T20:34:34.859Z",5540376
"2021-04-12T20:34:24.859Z",12523761
"2021-04-12T20:34:14.859Z",11913843
"2021-04-12T20:34:04.860Z",2568767
"2021-04-12T20:33:54.859Z",1080703
"2021-04-12T20:33:44.859Z",5712387
"2021-04-12T20:33:34.859Z",312711
"2021-04-12T20:33:24.859Z",1798046
"2021-04-12T20:33:14.859Z",72281
"2021-04-12T20:33:04.859Z",154581
"2021-04-12T20:32:54.859Z",4609455
"2021-04-12T20:32:44.859Z",2249185
"2021-04-12T20:32:34.868Z",68934
"2021-04-12T20:32:24.860Z",4596506
"2021-04-12T20:32:14.866Z",1546254
"2021-04-12T20:32:04.859Z",1805032
"2021-04-12T20:31:54.860Z",185963
"2021-04-12T20:31:44.859Z",56254
"2021-04-12T20:31:34.859Z",18238074
"2021-04-12T20:31:24.859Z",683999
"2021-04-12T20:31:14.859Z",1494026
"2021-04-12T20:31:04.866Z",70551
"2021-04-12T20:30:54.861Z",2034027
"2021-04-12T20:30:44.859Z",1714190
"2021-04-12T20:30:34.860Z",956229
"2021-04-12T20:30:24.860Z",5705987
"2021-04-12T20:30:14.859Z",1806850
"2021-04-12T20:30:04.860Z",13738551
"2021-04-12T20:29:54.862Z",1869810
"2021-04-12T20:29:44.860Z",7630256
"2021-04-12T20:29:34.859Z",7655563
"2021-04-12T20:29:24.859Z",65745
"2021-04-12T20:29:14.859Z",9038502
"2021-04-12T20:29:04.859Z",13900045
"2021-04-12T20:28:54.860Z",895376
"2021-04-12T20:28:44.859Z",3896537
