Timestamp,MAXnetOUT,MAXnetIN,AVGnetOut,AVGnetIN
2021-03-21T10:23:00.000Z,16515643,10986325,8247126.75,3278656.75
2021-03-21T10:24:00.000Z,18099671,11462454,14691948.5,8018575
2021-03-21T10:25:00.000Z,8239354,3965318,5657239.166666667,1165879.6666666667
2021-03-21T10:26:00.000Z,10646606,5802195,6516743.833333333,1856095.1666666667
2021-03-21T10:27:00.000Z,15661174,12251419,8543270.166666666,4069913
2021-03-21T10:28:00.000Z,12536986,7308107,9748635.333333334,4129525.8333333335
2021-03-21T10:29:00.000Z,10933697,7662620,7402925.666666667,3307692.5
2021-03-21T10:30:00.000Z,10762661,4727622,6831479.166666667,2133039.3333333335
2021-03-21T10:31:00.000Z,6858802,435157,5354759.833333333,191304.16666666666
2021-03-21T10:32:00.000Z,19942850,10571389,8155899,2574252.8333333335
2021-03-21T10:33:00.000Z,12893422,7614049,7639028.666666667,2521508.3333333335
2021-03-21T10:34:00.000Z,12829789,7473300,7595241.833333333,2948161.1666666665
2021-03-21T10:35:00.000Z,12790936,4455768,7261418.166666667,1035541.6666666666
2021-03-21T10:36:00.000Z,10161740,2823374,7305430.833333333,1155937.6666666667
2021-03-21T10:37:00.000Z,8612074,2093471,6530502.666666667,770653
2021-03-21T10:38:00.000Z,18652723,12491951,8576190.5,2739707.5
2021-03-21T10:39:00.000Z,12570065,8421330,7273277.333333333,2242756.6666666665
2021-03-21T10:40:00.000Z,9774284,2054209,5525648.333333333,469738.8333333333
2021-03-21T10:41:00.000Z,6938105,1876248,4696910,412817
2021-03-21T10:42:00.000Z,10954971,5758874,6429316,1398222
2021-03-21T10:43:00.000Z,7216960,1857044,5734156.5,648498
2021-03-21T10:44:00.000Z,13121566,10241330,8944902.333333334,3749589.6666666665
2021-03-21T10:45:00.000Z,14844828,12601587,8376439,3709951.1666666665
2021-03-21T10:46:00.000Z,14472221,7451476,9028932.166666666,2781873.5
2021-03-21T10:47:00.000Z,16493734,11807955,6766322.5,2410131.3333333335
2021-03-21T10:48:00.000Z,16884723,11439373,8163056.333333333,3006320.5
2021-03-21T10:49:00.000Z,18261641,11019596,8328177.5,2262833.1666666665
2021-03-21T10:50:00.000Z,5783698,155113,3724831.1666666665,107833.66666666667
2021-03-21T10:51:00.000Z,11432206,4236157,7118561.833333333,1621159.1666666667
2021-03-21T10:52:00.000Z,9112138,3809379,4847664.666666667,944903.3333333334
2021-03-21T10:53:00.000Z,8158068,2633781,5270775,815740.1666666666
2021-03-21T10:54:00.000Z,13476956,7328143,7359322.333333333,2762563.8333333335
2021-03-21T10:55:00.000Z,9971905,3861524,6601952.833333333,762976.3333333334
2021-03-21T10:56:00.000Z,8372805,1851491,5936211.833333333,428336.8333333333
2021-03-21T10:57:00.000Z,9314606,3139404,7199616.833333333,1540082.5
2021-03-21T10:58:00.000Z,10778633,4210549,7925149,2432696.1666666665
2021-03-21T10:59:00.000Z,8834354,2927065,7715940.333333333,1791489.3333333333
2021-03-21T11:00:00.000Z,12376065,5296234,9165790.833333334,2804692.5
2021-03-21T11:01:00.000Z,11628554,5052259,9417953.5,3113626.6666666665
2021-03-21T11:02:00.000Z,22420669,14593355,10753830.166666666,4267400.166666667
2021-03-21T11:03:00.000Z,15867953,10165711,9704531.666666666,4481411.666666667
2021-03-21T11:04:00.000Z,12202206,5506376,8945173.333333334,2840017
2021-03-21T11:05:00.000Z,11621053,3923185,8874511.5,1905638.3333333333
2021-03-21T11:06:00.000Z,9209072,2923828,6991334.166666667,1270333.3333333333
2021-03-21T11:07:00.000Z,10586466,6449257,8998773.166666666,3918509.5
2021-03-21T11:08:00.000Z,13117314,5540197,8905162,2411173.3333333335
2021-03-21T11:09:00.000Z,7848963,2648176,6754816.5,1757938
2021-03-21T11:10:00.000Z,11932095,5595798,9181457.666666666,3231681.1666666665
2021-03-21T11:11:00.000Z,9761578,2451241,8042365,1595945.1666666667
2021-03-21T11:12:00.000Z,20096220,16348525,10303252,4154804.8333333335
2021-03-21T11:13:00.000Z,20343870,12883610,11609525.333333334,4656285.166666667
2021-03-21T11:14:00.000Z,7869221,2348885,6874663,1953751
2021-03-21T11:15:00.000Z,14832984,7909473,11008095,4628887
2021-03-21T11:16:00.000Z,19236529,12206219,11022724.333333334,4819286.833333333
2021-03-21T11:17:00.000Z,14932157,7355496,10292805.833333334,3494659.6666666665
2021-03-21T11:18:00.000Z,11978480,6313693,8806691.333333334,3363572.3333333335
2021-03-21T11:19:00.000Z,15223522,6797364,10241906.333333334,3490143
2021-03-21T11:20:00.000Z,5136586,262692,3698505.8333333335,143115.33333333334
2021-03-21T11:21:00.000Z,6133644,1817756,3765055.5,404980.1666666667
2021-03-21T11:22:00.000Z,10668426,5578216,5644377.5,1052282.3333333333
2021-03-21T11:23:00.000Z,10226076,5701414,6299737.5,2015308
2021-03-21T11:24:00.000Z,14987795,8576741,8845720.333333334,3964831.1666666665
2021-03-21T11:25:00.000Z,7788353,3568050,4567668,835744.3333333334
2021-03-21T11:26:00.000Z,3625870,174710,3362162.8333333335,124922.5
2021-03-21T11:27:00.000Z,3410142,193978,3363423,123678.83333333333
2021-03-21T11:28:00.000Z,9182472,3006800,5327638,596766.3333333334
2021-03-21T11:29:00.000Z,10092195,3452687,6939296.333333333,1513305.5
2021-03-21T11:30:00.000Z,6389915,407373,5008279,196857.5
2021-03-21T11:31:00.000Z,38377736,47027904,11245853.5,8228915.333333333
2021-03-21T11:32:00.000Z,9881848,3272094,6320422.666666667,668712
2021-03-21T11:33:00.000Z,7877189,1777344,5594763.333333333,660982.5
2021-03-21T11:34:00.000Z,18053483,7618442,15349317.5,6144712.166666667
2021-03-21T11:35:00.000Z,8855270,199429,6143270.5,153802.66666666666
2021-03-21T11:36:00.000Z,10775234,5751606,6373862.666666667,1358683.8333333333
2021-03-21T11:37:00.000Z,7638360,207615,5322669,137546
2021-03-21T11:38:00.000Z,5025570,353993,3639592.3333333335,159091.33333333334
2021-03-21T11:39:00.000Z,12401751,5573326,6523176.166666667,1929844.8333333333
2021-03-21T11:40:00.000Z,8371524,3341343,5123385,1132854.8333333333
2021-03-21T11:41:00.000Z,6177767,1824884,3887101.8333333335,410223.6666666667
2021-03-21T11:42:00.000Z,15781576,13367572,7517554.833333333,4028740.3333333335
2021-03-21T11:43:00.000Z,12552432,7380209,7698655.166666667,3333599.5
2021-03-21T11:44:00.000Z,7538537,1857577,6446361.5,1162875
2021-03-21T11:45:00.000Z,22488780,15697039,12995423.5,7140375.666666667
2021-03-21T11:46:00.000Z,15549047,8190890,8460943.333333334,3177007.3333333335
2021-03-21T11:47:00.000Z,10448143,8176971,6162431.333333333,2090120.1666666667
2021-03-21T11:48:00.000Z,8895629,2105880,6215789.333333333,921109.6666666666
2021-03-21T11:49:00.000Z,8105334,1838984,6711432.5,899962.6666666666
2021-03-21T11:50:00.000Z,12654957,6850755,7472183.333333333,1578668.1666666667
2021-03-21T11:51:00.000Z,9950107,3885124,5975994.166666667,1383818.3333333333
2021-03-21T11:52:00.000Z,11158604,5623593,6753729.333333333,1761411.3333333333
2021-03-21T11:53:00.000Z,13775188,5961001,8781156.333333334,2444033.6666666665
2021-03-21T11:54:00.000Z,13112488,8816910,7702370.833333333,2065091.1666666667
